file_name,status,timestamp,hash
NoteGPT_Justice_ What'sTheRightThingToDo_Episode01_THE MORAL SIDE OF MURDER_.txt,processed,2025-10-27T19:46:05.635518,b32f038ad7f99bac519132eac4683892ddf241d90973337ca0d5d7974ddb8a9a
NoteGPT_Last Lecture Series_ How to Live your Life at Full Power — Graham Weaver.txt,processed,2025-10-27T19:46:05.636344,546c058d9b5d00347761a650203d99cb65e31f9d13f795b768fb5a0e9fcf25f5
ml_intro.txt,processed,2025-10-27T19:46:05.636756,39211da19d6ab91433207204d38b8e81c32d96d23e34a2d913b3255a1caa3a57
NoteGPT_Justice_ What'sTheRightThingToDo_Episode01_THE MORAL SIDE OF MURDER_ (1).txt,processed,2025-10-27T19:46:05.637627,93858a8b15741239553b95eaa8bf692613305adf1c3f393c2656ab7a6e3d441e
NoteGPT_Optimal Protocols for Studying & Learning.txt,processed,2025-10-27T19:46:05.638220,e118051cc2acbe76be6df91bc54213d47b0265d8665a226bfd6aa962331ec5e9
Hausman_PhilosophyOfEconomicsAnthology.pdf,processed,2025-10-27T19:46:05.646398,3689b3ede054456f25cb32d7c576ecef7a254b82e4fe7e461e8fa460c7fbd825
NoteGPT_The Trillion Dollar Equation.txt,processed,2025-10-27T19:46:26.883819,735aac64bf22fecd12cabbdf53817934248d9a07c553baeb202ed25437d61b81
NoteGPT_Take a Seat in the Harvard MBA Case Classroom.txt,processed,2025-10-27T19:46:26.884609,0db6461f6a6cc0717d8b35a4fbffe0afa109c605a49da1e40e9fd2bab56ad898
6372215474167643589th hsitory FILE.pdf,processed,2025-10-27T19:46:26.912044,67f2bad993dfeb712bd7702842da673643046f01299e10d07e1123d135f3ab3f
test_document.txt,processed,2025-10-27T19:46:29.293198,da4b06d7964125bd599392656313de8eef0b77c7fd58d8a620407db47a0915be
children-12-01078.pdf,processed,2025-10-27T20:37:19.437215,a38838448dca526b779430403cdf5c6f8dc0ab0153689e2f8c9c31b8c8d9feba
